*************************** NUIT one-group neutron cross-section data ***************************
Number of isotopes with neutron data: 
	554
Number of burnup steps:
	2

BU(MWd/kgHM)
0.00000000E+00   2.14162361E-09

NucId    NucName  MT
10010    H1       1       
                  102   4.00630513E-02   3.95928822E-02
10020    H2       2       
                  16    1.42589800E-03   1.45943764E-03
                  102   6.35041529E-05   6.27897311E-05
10030    H3       1       
                  16    2.65431674E-05   3.45409854E-05
20030    He3      2       
                  102   3.62521231E-05   3.61433482E-05
                  103   6.39971719E+02   6.32180148E+02
30060    Li6      2       
                  102   4.64161900E-03   4.58521334E-03
                  103   1.06587891E-03   1.14815311E-03
30070    Li7      2       
                  16    3.75256715E-06   1.16624540E-05
                  102   5.47412379E-03   5.40751384E-03
40090    Be9      3       
                  16    3.12853972E-02   3.13872162E-02
                  102   1.20994921E-03   1.19523495E-03
                  107   1.04021030E-02   1.04010449E-02
50100    B10      3       
                  102   4.77177956E-02   4.71376352E-02
                  103   2.93444391E-03   2.95411749E-03
                  107   4.63089491E+02   4.57455856E+02
50110    B11      3       
                  16    0.00000000E+00   2.87564913E-07
                  102   6.72198799E-04   6.67700363E-04
                  107   5.97151805E-06   1.38654212E-05
60120    C12      2       
                  102   4.82732664E-04   4.77258582E-04
                  107   2.84156347E-04   2.33423824E-04
60130    C13      2       
                  102   1.88710521E-04   1.86550308E-04
                  107   2.35570111E-04   2.23540260E-04
70140    N14      3       
                  102   9.03864108E-03   8.92923744E-03
                  103   2.33611754E-01   2.31544922E-01
                  107   2.41932082E-02   2.46148653E-02
70150    N15      4       
                  16    2.29060637E-08   2.28384815E-06
                  102   1.14700327E-05   1.14098716E-05
                  103   1.50547124E-07   4.12085081E-06
                  107   2.72063481E-06   1.85234437E-05
80160    O16      3       
                  102   4.92101865E-05   4.77429139E-05
                  103   2.24840113E-07   1.91757406E-05
                  107   2.88284457E-03   3.19238486E-03
80170    O17      4       
                  16    2.50800868E-06   1.10740324E-05
                  102   5.27973293E-04   5.22706243E-04
                  103   3.24297744E-07   3.31267823E-06
                  107   6.18135402E-02   6.15722327E-02
80180    O18      3       
                  16    3.94472034E-05   1.28367908E-04
                  102   7.21701854E-05   7.28012849E-05
                  107   3.90543674E-05   4.09439209E-05
90190    F19      4       
                  16    1.97402492E-08   1.34981835E-06
                  102   1.72050995E-03   1.66629985E-03
                  103   3.05663848E-04   2.94864596E-04
                  107   4.07015812E-03   4.19267787E-03
100200   Ne20     3       
                  102   4.76313497E-03   4.68280123E-03
                  103   4.67634606E-05   6.37214294E-05
                  107   1.41107842E-02   1.44629864E-02
100210   Ne21     4       
                  16    3.22401584E-04   3.84509037E-04
                  102   1.01240626E-01   1.01350203E-01
                  103   7.98595693E-05   8.24094987E-05
                  107   1.02586931E-02   1.03300799E-02
100220   Ne22     3       
                  16    6.15278717E-07   2.68441381E-05
                  102   5.49367881E-03   5.44596567E-03
                  107   2.44839876E-05   2.89839762E-05
110220   Na22     4       
                  16    1.84227550E-08   1.14709816E-06
                  102   3.07882276E+01   3.04379990E+01
                  103   3.51991064E+03   3.47991747E+03
                  107   3.59788284E+00   3.55821187E+00
110230   Na23     5       
                  16    0.00000000E+00   5.73524658E-07
                  102   1.53324126E-02   1.52168617E-02
                  103   3.78857424E-04   3.76491921E-04
                  107   1.36463693E-04   1.61304993E-04
                  1021  5.07555728E-02   5.03730593E-02
120240   Mg24     3       
                  102   6.56177351E-03   6.47003582E-03
                  103   3.82609059E-04   4.08187560E-04
                  107   1.39969951E-03   1.39247205E-03
120250   Mg25     4       
                  16    1.26472037E-04   2.39322213E-04
                  102   2.35871180E-02   2.32765960E-02
                  103   4.52211323E-04   4.53089548E-04
                  107   4.46760792E-03   4.42826362E-03
120260   Mg26     4       
                  16    1.71898463E-08   7.44770660E-06
                  102   4.78351172E-03   4.73548632E-03
                  103   9.50964470E-07   5.69421986E-06
                  107   2.66777949E-05   4.62949198E-05
130261   Al26m1   3       
                  102   9.02233107E-03   0.00000000E+00
                  103   1.76282789E+02   0.00000000E+00
                  107   3.64332211E+01   0.00000000E+00
130270   Al27     4       
                  16    0.00000000E+00   2.12439437E-07
                  102   2.92976424E-02   2.86327533E-02
                  103   1.05289284E-03   1.04905175E-03
                  107   1.64621770E-04   1.78800741E-04
140280   Si28     3       
                  102   2.09596934E-02   2.05270054E-02
                  103   1.88649725E-03   1.85431645E-03
                  107   8.03176892E-04   8.07347192E-04
140290   Si29     4       
                  16    4.25379540E-06   3.12389454E-05
                  102   1.56183097E-02   1.54476853E-02
                  103   1.01229372E-03   1.00625410E-03
                  107   1.60617651E-03   1.64881710E-03
140300   Si30     4       
                  16    4.73634494E-07   2.32942350E-05
                  102   3.28764488E-02   2.83692408E-02
                  103   1.10347204E-06   7.16226171E-06
                  107   2.01491878E-05   3.05850491E-05
140310   Si31     4       
                  16    1.19319684E-03   1.00951839E-03
                  102   7.24156929E-03   5.92650611E-03
                  103   9.14635631E-07   1.38711452E-06
                  107   6.92101265E-05   5.54921014E-05
140320   Si32     3       
                  16    1.01851659E-05   1.29385198E-04
                  102   6.89669987E-02   6.81357634E-02
