*************************** NUIT one-group neutron cross-section data ***************************
Number of isotopes with neutron data: 
	202
Number of burnup steps:
	2

BU(MWd/kgHM)
0.00000000E+00   1.00000000E+00

NucId    NucName  MT
50100    B10      3       
                  102   4.79053899E-02   4.42138495E-02
                  103   2.83762458E-03   2.95275315E-03
                  107   4.64909037E+02   4.29074155E+02
50110    B11      4       
                  16    4.43199755E-07   1.78547295E-06
                  102   6.77399394E-04   6.24394305E-04
                  103   2.97827611E-07   6.92748458E-07
                  107   2.36591977E-05   7.66911635E-06
80160    O16      3       
                  102   5.04204336E-05   5.06455488E-05
                  103   1.87644894E-05   6.38273717E-06
                  107   2.85262534E-03   2.98813458E-03
350810   Br81     5       
                  16    2.33053415E-04   1.37582244E-04
                  102   1.61457999E-01   1.52406012E-01
                  103   5.67353047E-05   5.49846945E-05
                  107   1.35245498E-06   8.37533267E-07
                  1021  1.60504089E+00   1.51505583E+00
360820   Kr82     5       
                  16    8.78514499E-05   1.19420969E-04
                  102   2.19342139E+00   1.99689617E+00
                  103   2.34568892E-05   1.93629827E-05
                  107   6.21967023E-06   4.67484345E-06
                  1021  4.39342964E+00   3.99978902E+00
360830   Kr83     4       
                  16    1.10066333E-03   4.72186944E-04
                  102   2.62561806E+01   2.44309928E+01
                  103   3.14246283E-05   3.02033576E-05
                  107   1.66189404E-06   1.50814937E-06
360840   Kr84     5       
                  16    1.45645670E-04   1.24769555E-04
                  102   1.21865093E-02   1.30037602E-02
                  103   2.98641773E-06   1.74634656E-06
                  107   5.96423744E-07   3.90256642E-07
                  1021  5.40805342E-02   5.77072793E-02
360850   Kr85     4       
                  16    6.04057873E-04   2.82375048E-04
                  102   2.82347231E-01   2.59518902E-01
                  103   2.47167854E-06   1.66070751E-06
                  107   3.70793310E-07   5.17158984E-07
360860   Kr86     3       
                  16    2.67727751E-04   1.34285077E-04
                  102   1.16982463E-03   1.17317267E-03
                  103   3.92041465E-07   5.66242485E-07
380890   Sr89     4       
