*************************** NUIT one-group neutron cross-section data ***************************
Number of isotopes with neutron data: 
	551
Number of burnup steps:
	2

BU(MWd/kgHM)
0.00000000E+00   1.00000000E+00

NucId    NucName  MT
10020    H2       2       
                  16    4.83641693E+12   2.07043678E-13
                  102   2.31400267E+11   9.37793250E-15
10030    H3       1       
                  16    1.83958532E+11   1.03229637E-12
20030    He3      2       
                  102   1.16150832E+11   2.62277570E-06
                  103   2.34582648E+18   5.51472823E+01
30060    Li6      2       
                  102   1.70079940E+13   1.03084920E-09
                  103   3.52823282E+12   2.18857737E-10
30070    Li7      2       
                  16    4.00747686E+10   1.87864412E-20
                  102   2.00584264E+13   7.84825095E-18
40090    Be9      3       
                  16    1.02060615E+14   1.02833697E+14
                  102   4.43200544E+12   4.59240346E+12
                  107   3.35953274E+13   3.32068046E+13
60120    C12      2       
                  102   1.75935636E+12   1.49655090E-08
                  107   1.33406718E+12   8.13090725E-09
60130    C13      2       
                  102   6.87663814E+11   3.54881497E-04
                  107   9.65031760E+11   4.74285095E-04
70140    N14      4       
                  16    0.00000000E+00   8.34828495E-06
                  102   3.31270144E+13   1.32550772E+00
                  103   8.51604781E+14   3.39364657E+01
                  107   7.95582447E+13   2.98178207E+00
70150    N15      4       
                  16    0.00000000E+00   1.56141726E+01
                  102   3.69083028E+10   6.67717193E+02
                  103   3.82531724E+09   3.09944712E+02
                  107   4.88256145E+10   1.40481138E+03
80160    O16      3       
                  102   7.39025337E-05   7.40833615E-05
                  103   8.10348915E-07   4.76996570E-05
                  107   4.97594548E-03   5.31596710E-03
80170    O17      4       
                  16    2.93533552E+10   2.01137412E-05
                  102   1.90067182E+12   8.78059011E-04
                  103   4.21502212E+09   5.11790310E-06
                  107   2.09521115E+14   9.47498259E-02
80180    O18      3       
                  16    4.62427774E+11   2.11704815E-04
                  102   2.43883998E+11   9.88096057E-05
                  107   1.60956360E+11   6.75397309E-05
90190    F19      3       
                  102   5.87222978E+12   0.00000000E+00
                  103   1.08874533E+12   0.00000000E+00
                  107   1.26717069E+13   0.00000000E+00
100200   Ne20     3       
                  102   1.71551653E+13   1.93351159E+13
                  103   3.12069463E+11   3.09919642E+11
                  107   4.57475493E+13   5.27957252E+13
100210   Ne21     4       
                  16    1.93131396E+12   1.73442975E+12
                  102   3.53578136E+14   3.69187637E+14
                  103   3.50284864E+11   3.49859503E+11
                  107   3.33740353E+13   3.40074125E+13
100220   Ne22     4       
                  16    0.00000000E+00   8.82434731E+10
                  102   2.01613477E+13   2.07368794E+13
                  103   1.71801564E+06   5.22004565E+08
                  107   1.55134461E+11   1.31524067E+11
110220   Na22     4       
                  16    0.00000000E+00   4.74753454E+09
                  102   1.12575076E+17   1.77202054E+17
                  103   1.28720423E+19   2.02612236E+19
                  107   1.31169199E+16   2.06295290E+16
110230   Na23     4       
                  102   5.58852194E+13   5.78762194E+13
                  103   1.42660854E+12   1.53814657E+12
                  107   7.10448261E+11   7.05024942E+11
                  1021  1.84999347E+14   1.91590244E+14
120240   Mg24     3       
                  102   2.37058863E+13   2.48025217E+13
                  103   1.72721549E+12   1.70294374E+12
                  107   5.26724637E+12   5.64005828E+12
120250   Mg25     4       
                  16    9.80064691E+11   1.03869744E+12
                  102   8.62317346E+13   8.91619928E+13
                  103   1.50084514E+12   1.66487855E+12
                  107   1.46257020E+13   1.57952642E+13
120260   Mg26     3       
                  102   1.73946029E+13   1.79833473E+13
                  103   1.34435224E+10   2.29684185E+10
                  107   2.02272077E+11   2.03952108E+11
130261   Al26m1   3       
                  102   3.25974609E+13   1.13069766E+06
                  103   6.45680313E+17   2.24168601E+10
