*************************** NUIT one-group neutron cross-section data ***************************
Number of isotopes with neutron data: 
	554
Number of burnup steps:
	2

BU(MWd/kgHM)
0.00000000E+00   1.00000000E+00

NucId    NucName  MT
10010    H1       1       
                  102   4.24400028E-02   4.52960489E-02
10020    H2       2       
                  16    1.57295466E-03   1.38864714E-03
                  102   6.71440977E-05   7.14942454E-05
10030    H3       1       
                  16    3.66063254E-05   3.10814990E-05
20030    He3      2       
                  102   3.68044227E-05   3.73156323E-05
                  103   6.77811653E+02   7.23670101E+02
30060    Li6      2       
                  102   4.91536495E-03   5.24742588E-03
                  103   1.18082205E-03   1.06906471E-03
30070    Li7      2       
                  16    1.27265767E-05   5.74529475E-06
                  102   5.79676971E-03   6.18848714E-03
40090    Be9      3       
                  16    3.25094994E-02   3.09131394E-02
                  102   1.28084541E-03   1.36697169E-03
                  107   1.04891038E-02   1.05839612E-02
50100    B10      3       
                  102   5.05540084E-02   5.39548635E-02
                  103   3.01390593E-03   2.97640416E-03
                  107   4.90573686E+02   5.23583253E+02
50110    B11      4       
                  16    3.60355527E-06   1.51841880E-07
                  102   7.12947181E-04   7.57891898E-04
                  103   1.25955732E-06   1.89690318E-07
                  107   1.49760684E-05   8.18918376E-06
60120    C12      2       
                  102   5.10362899E-04   5.43553796E-04
                  107   3.03809516E-04   2.42704271E-04
60130    C13      2       
                  102   1.99972965E-04   2.12755688E-04
                  107   2.73796179E-04   2.29296281E-04
70140    N14      4       
                  16    1.45329158E-06   1.65967187E-07
                  102   9.57387181E-03   1.02204984E-02
                  103   2.47322550E-01   2.62739259E-01
                  107   2.50631366E-02   2.45088148E-02
70150    N15      4       
                  16    2.45821941E-05   2.85091466E-06
                  102   1.16749409E-05   1.18646102E-05
                  103   6.16008909E-06   1.17801056E-06
                  107   2.25858969E-05   6.29676879E-06
80160    O16      3       
                  102   5.18399965E-05   5.67495457E-05
                  103   1.21201582E-05   2.32223453E-06
                  107   3.24878971E-03   2.93263141E-03
80170    O17      4       
                  16    1.97701115E-05   5.42363345E-06
                  102   5.55799321E-04   5.88707109E-04
                  103   1.04090873E-05   1.66660441E-06
                  107   6.37093767E-02   6.58859836E-02
80180    O18      4       
                  16    1.59021467E-04   6.77032649E-05
                  17    6.77859522E-07   1.15824209E-10
                  102   7.56123047E-05   7.28573715E-05
                  107   4.63967319E-05   3.91714732E-05
90190    F19      4       
                  16    9.70719855E-06   1.22773264E-06
                  102   1.82955441E-03   1.88645986E-03
                  103   3.27799810E-04   2.86379713E-04
                  107   4.38985286E-03   3.92266044E-03
100200   Ne20     3       
                  102   5.00356131E-03   5.30556756E-03
                  103   6.82064715E-05   5.44617952E-05
                  107   1.50742791E-02   1.38206452E-02
100210   Ne21     4       
                  16    4.45536938E-04   3.57253348E-04
                  102   1.08333417E-01   1.12698892E-01
                  103   9.35583759E-05   8.13730262E-05
                  107   1.05968059E-02   1.02888077E-02
100220   Ne22     4       
                  16    1.05914710E-04   1.62423565E-05
                  102   5.83639072E-03   6.22244832E-03
                  103   1.16538410E-06   1.76373061E-07
                  107   3.17534754E-05   2.79673027E-05
110220   Na22     4       
                  16    6.58510214E-06   9.32605714E-07
                  102   3.26388830E+01   3.47274061E+01
                  103   3.73182002E+03   3.97064913E+03
                  107   3.81082004E+00   4.04919422E+00
110230   Na23     5       
                  16    4.45717886E-06   6.41547954E-08
                  102   1.62808703E-02   1.73588503E-02
                  103   4.19344743E-04   3.91236447E-04
                  107   1.81270983E-04   1.47842591E-04
                  1021  5.38952947E-02   5.74637802E-02
120240   Mg24     3       
                  102   6.99408877E-03   7.31317631E-03
                  103   4.76241978E-04   3.84473427E-04
                  107   1.52091112E-03   1.36576512E-03
120250   Mg25     4       
                  16    3.11563258E-04   1.69429023E-04
                  102   2.49908974E-02   2.66341889E-02
                  103   4.93297751E-04   4.33928668E-04
                  107   4.71575572E-03   4.33929686E-03
120260   Mg26     4       
                  16    9.29456909E-05   9.28528813E-06
                  102   5.03580164E-03   5.37030958E-03
                  103   9.86151029E-06   2.50622464E-06
                  107   4.97142747E-05   3.36400089E-05
130261   Al26m1   4       
                  16    2.18874336E-06   6.16284576E-15
                  102   9.51011406E-03   3.40528755E-10
                  103   1.86654912E+02   6.67723282E-06
                  107   3.85752095E+01   1.37990205E-06
130270   Al27     4       
                  16    1.12897663E-06   0.00000000E+00
                  102   3.07811684E-02   3.27714935E-02
                  103   1.12905639E-03   1.01628892E-03
                  107   2.04580493E-04   1.72467978E-04
140280   Si28     3       
                  102   2.20316273E-02   2.36707821E-02
                  103   2.07904673E-03   1.80899355E-03
                  107   9.11136018E-04   7.82324961E-04
140290   Si29     4       
                  16    7.27945774E-05   1.38732221E-05
                  102   1.68125115E-02   1.74594909E-02
                  103   1.09582718E-03   9.83623635E-04
                  107   1.74512935E-03   1.57937202E-03
140300   Si30     4       
                  16    9.90123922E-05   1.42932295E-05
                  102   4.07660478E-02   3.45346211E-02
                  103   1.09757327E-05   2.74255376E-06
                  107   4.04893115E-05   2.42818702E-05
140310   Si31     4       
                  16    1.51352495E-03   1.25791723E-03
                  102   7.67406793E-03   7.61332995E-03
                  103   2.56336936E-06   1.22887223E-06
                  107   7.88801135E-05   6.77152394E-05
140320   Si32     3       
                  16    2.04363352E-04   3.89928623E-05
                  102   7.30288634E-02   7.79183399E-02
                  107   8.14168186E-07   1.15694568E-07
150310   P31      4       
                  16    1.99880679E-06   8.59705400E-08
                  102   2.44547148E-02   2.58437056E-02
                  103   9.42982488E-03   9.20133086E-03
                  107   5.82864064E-04   5.17938543E-04
160320   S32      3       
                  102   6.81730479E-02   7.28230722E-02
                  103   1.93706347E-02   1.86084728E-02
                  107   2.73579067E-02   2.70372824E-02
160330   S33      4       
                  16    6.04438409E-05   2.50092603E-05
                  102   4.48960763E-02   4.79533129E-02
                  103   1.85965670E-02   1.84637083E-02
                  107   1.74526482E-01   1.74619572E-01
160340   S34      4       
                  16    5.90480811E-05   7.23695465E-06
                  102   2.86205148E-02   3.05409472E-02
                  103   2.34191169E-04   1.97877377E-04
                  107   9.72405100E-04   8.69060548E-04
160350   S35      4       
                  16    7.80597718E-04   5.96797434E-04
                  102   4.16583371E-02   4.44484084E-02
                  103   7.34692399E-05   5.92696315E-05
                  107   2.04422755E-03   1.91436983E-03
160360   S36      4       
                  16    1.52858632E-04   2.46397873E-05
                  102   2.18540782E-02   2.31574578E-02
                  103   3.82993893E-07   5.77751344E-08
                  107   1.47380424E-05   1.30130566E-05
170350   Cl35     4       
                  16    5.46935572E-07   0.00000000E+00
                  102   5.50730186E+00   5.88213181E+00
                  103   1.00484188E-01   1.03693344E-01
                  107   5.76072913E-03   5.24040858E-03
170360   Cl36     4       
                  16    1.26777423E-04   4.99321363E-05
                  102   1.31002452E+00   1.39503785E+00
                  103   2.69450175E+01   2.87568287E+01
                  107   8.33975700E-01   8.88979989E-01
170370   Cl37     5       
                  16    1.10345003E-04   1.72098498E-05
                  102   4.90884556E-02   5.23476331E-02
                  103   5.01796505E-05   4.26571188E-05
                  107   1.14397494E-04   9.62572557E-05
                  1021  6.63688848E-03   7.07753786E-03
180360   Ar36     3       
                  102   6.51635196E-01   6.95629664E-01
                  103   4.30262168E-02   4.18046734E-02
                  107   2.45812837E-02   2.38696477E-02
180370   Ar37     4       
                  16    6.73503376E-05   2.13361934E-05
                  102   2.94460012E-01   3.02959940E-01
                  103   8.98387611E+00   9.57638588E+00
                  107   2.51801237E+02   2.68769957E+02
180380   Ar38     4       
                  16    5.26000455E-05   5.54205111E-06
                  102   1.05098398E-01   1.12192731E-01
                  103   3.45367082E-04   3.04826315E-04
                  107   1.80132818E-03   1.61186238E-03
180390   Ar39     4       
                  16    5.74564787E-04   4.30969899E-04
                  102   1.25508729E-02   1.25068279E-02
                  103   1.04283820E-04   8.38748719E-05
                  107   1.28239822E+00   1.36832199E+00
180400   Ar40     4       
                  16    1.59072283E-04   2.59699511E-05
                  102   8.43772883E-02   9.00595807E-02
                  103   4.58913438E-06   1.71815114E-06
                  107   2.82534306E-05   2.48833542E-05
180410   Ar41     4       
                  16    1.35098253E-03   1.11265086E-03
                  102   8.70501060E-02   9.15177575E-02
                  103   7.15361347E-06   4.17685083E-06
                  107   1.96001532E-05   1.68262302E-05
190390   K39      4       
                  16    3.39321216E-07   0.00000000E+00
                  102   2.72590716E-01   2.91838397E-01
                  103   3.20346040E-02   3.15151180E-02
                  107   1.22645945E-02   1.14023795E-02
190400   K40      4       
                  16    1.51544492E-04   1.13850457E-04
                  102   3.82576153E+00   4.08331438E+00
                  103   5.27855842E-01   5.64789639E-01
                  107   1.14660353E-01   1.17908126E-01
190410   K41      4       
                  16    9.53248954E-06   1.52022292E-06
                  102   1.99010812E-01   2.10690355E-01
                  103   5.78516933E-04   5.25914857E-04
                  107   2.71763585E-04   2.39992851E-04
200400   Ca40     3       
                  102   5.46244737E-02   5.85021828E-02
                  103   3.04042871E-02   2.89512266E-02
                  107   1.14407170E-02   1.07816918E-02
200410   Ca41     4       
                  16    6.69492695E-05   2.80696621E-05
                  102   2.38364259E-02   2.38374546E-02
                  103   3.42240537E+00   3.64988068E+00
                  107   1.08547745E+02   1.15855440E+02
200420   Ca42     4       
                  16    5.54370419E-05   6.04321386E-06
                  102   9.04818711E-02   9.57468925E-02
                  103   1.02885675E-03   9.06179259E-04
                  107   6.96608077E-04   6.23907784E-04
200430   Ca43     4       
                  16    2.48297620E-04   1.00435572E-04
                  102   1.50743605E+00   1.60831816E+00
                  103   9.09969728E-04   8.10425286E-04
                  107   8.57667952E-04   7.85980844E-04
200440   Ca44     4       
                  16    1.21391294E-04   1.53690551E-05
                  102   1.14903167E-01   1.22296665E-01
                  103   2.57125477E-05   1.71195201E-05
                  107   1.32405864E-05   9.01296245E-06
200450   Ca45     4       
                  16    3.93279776E-04   2.20977038E-04
                  102   1.90018221E+00   2.02862387E+00
                  103   1.66182603E-05   9.90797416E-06
                  107   7.14244203E-06   4.22730714E-06
200460   Ca46     3       
                  16    2.16615621E-04   3.50941210E-05
                  102   9.48386834E-02   1.01190860E-01
                  103   1.82934416E-06   3.63914342E-07
200470   Ca47     3       
                  16    5.45904997E-04   3.40538824E-04
                  102   9.26163395E-02   9.83003505E-02
                  103   2.48423043E-06   9.16396192E-07
200480   Ca48     2       
                  16    2.69095436E-04   4.59817740E-05
                  102   1.39174938E-01   1.48561818E-01
210450   Sc45     5       
                  16    5.48815820E-05   5.53856857E-06
                  102   1.92558451E+00   2.05497506E+00
                  103   6.93845498E-03   6.85680831E-03
                  107   1.31529925E-04   1.12437741E-04
                  1021  1.53769698E+00   1.64102325E+00
220460   Ti46     4       
                  16    2.89054676E-06   0.00000000E+00
                  102   8.06311272E-02   8.60382766E-02
                  103   3.06457612E-03   2.72771914E-03
                  107   3.88589808E-04   3.41202005E-04
220470   Ti47     4       
                  16    1.80413590E-04   4.24200967E-05
                  102   2.31858725E-01   2.46531877E-01
                  103   5.51457148E-03   5.25160415E-03
                  107   2.64572578E-03   2.49955097E-03
220480   Ti48     4       
                  16    8.46289302E-05   7.81918044E-06
                  102   1.06384337E+00   1.13433704E+00
                  103   1.03771252E-04   8.60812510E-05
                  107   1.97581854E-05   1.37563905E-05
220490   Ti49     4       
                  16    2.17382259E-04   8.47111503E-05
                  102   2.41689717E-01   2.57643319E-01
                  103   3.27201580E-04   2.92183663E-04
                  107   3.98695628E-05   3.46148792E-05
220500   Ti50     4       
                  16    1.69319719E-04   2.45226347E-05
                  102   2.34513014E-02   2.49139209E-02
                  103   3.84201266E-06   1.59552303E-06
                  107   3.25670805E-06   1.91753462E-06
230490   V49      4       
                  16    3.59916774E-05   2.58091128E-06
                  102   4.06966001E+00   4.14600825E+00
                  103   1.32266465E+01   1.41165724E+01
                  107   1.03505532E-04   7.32970934E-05
230500   V50      4       
                  16    1.84112805E-04   3.17283483E-05
                  102   7.02473319E+00   7.36627157E+00
                  103   2.72730279E-03   2.63628861E-03
                  107   5.59513281E-05   4.54155631E-05
230510   V51      4       
                  16    1.28281315E-04   1.57039658E-05
                  102   6.40763376E-01   6.82571168E-01
                  103   1.58758841E-04   1.38793459E-04
                  107   8.35059119E-06   5.30081998E-06
240500   Cr50     4       
                  16    1.89148898E-06   0.00000000E+00
                  102   1.97706406E+00   2.10911742E+00
                  103   1.44935475E-02   1.33009466E-02
                  107   1.04648110E-03   9.29402882E-04
240510   Cr51     4       
                  16    1.21658326E-04   2.13784221E-05
                  102   1.40920100E+00   1.49465179E+00
                  103   9.85573568E-01   1.04575226E+00
                  107   1.27353640E+00   1.35978802E+00
240520   Cr52     4       
                  16    5.47942594E-05   3.63489325E-06
                  102   1.13105309E-01   1.20931277E-01
                  103   3.01595376E-04   2.60397579E-04
                  107   3.55220146E-05   2.83068089E-05
240530   Cr53     4       
                  16    3.58050703E-04   1.69702459E-04
                  102   2.31846176E+00   2.47352277E+00
                  103   1.19969241E-04   1.01565373E-04
                  107   2.51560288E-04   2.25292303E-04
240540   Cr54     4       
                  16    2.65506937E-04   4.57749479E-05
                  102   5.43001859E-02   5.76392331E-02
                  103   3.86624841E-06   1.27124267E-06
