*************************** NUIT one-group neutron cross-section data ***************************
Number of isotopes with neutron data: 
	420
Number of burnup steps:
	2

BU(MWd/kgHM)
0.00000000E+00   1.00000000E+00

NucId    NucName  MT
10010    H1       1       
                  102   1.03632235E-01   1.03549495E-01
10020    H2       2       
                  16    2.18847593E-04   2.16335730E-04
                  102   1.58401574E-04   1.58273503E-04
10030    H3       1       
                  16    5.61943723E-06   3.48598896E-06
20030    He3      2       
                  102   2.49693525E-05   2.49312128E-05
                  103   1.65848918E+03   1.65716267E+03
30060    Li6      2       
                  102   1.20183259E-02   1.20087272E-02
                  103   1.69414280E-04   1.68072368E-04
30070    Li7      2       
                  16    1.68423842E-06   1.09349752E-06
                  102   1.41733046E-02   1.41619685E-02
40090    Be9      3       
                  16    4.77977602E-03   4.78794077E-03
                  102   3.13341892E-03   3.12956525E-03
                  107   1.88216602E-03   1.89641468E-03
50100    B10      3       
                  102   1.55830569E-01   1.55639043E-01
                  103   7.10375985E-04   7.13606575E-04
                  107   1.19942574E+03   1.19795159E+03
50110    B11      2       
                  102   1.72570465E-03   1.72379101E-03
                  107   2.14906035E-06   1.36479734E-06
70140    N14      3       
                  102   2.33907896E-02   2.33721011E-02
                  103   5.73423576E-01   5.72895858E-01
                  107   4.23428182E-03   4.25455449E-03
70150    N15      4       
                  16    1.77190321E-07   1.02457980E-06
                  102   9.95472409E-06   9.93951360E-06
                  103   4.48891615E-07   4.25322253E-07
                  107   2.58985525E-06   1.80544831E-06
80160    O16      3       
                  102   7.39752398E-05   7.42322313E-05
                  103   1.52878243E-06   7.86141174E-07
                  107   3.33847500E-04   3.36175093E-04
80170    O17      4       
                  16    1.50859045E-06   1.33463063E-06
                  102   1.20868365E-03   1.20769199E-03
                  103   3.60928202E-07   5.27491761E-07
                  107   8.10883877E-02   8.09713801E-02
90190    F19      3       
                  102   3.30247409E-03   0.00000000E+00
                  103   4.55495287E-05   0.00000000E+00
                  107   6.26308733E-04   0.00000000E+00
110220   Na22     4       
                  16    9.96939640E-08   3.18218631E-07
                  102   7.91845741E+01   7.90589066E+01
                  103   9.05226284E+03   9.03785648E+03
                  107   9.06792977E+00   9.05346707E+00
110230   Na23     4       
                  102   3.86371874E-02   3.85825020E-02
                  103   6.13602689E-05   5.83820915E-05
                  107   2.44024049E-05   1.97410326E-05
                  1021  1.27902413E-01   1.27721386E-01
120240   Mg24     3       
                  102   1.58954419E-02   1.58867480E-02
                  103   6.12568139E-05   5.51364498E-05
                  107   2.08914349E-04   2.00370748E-04
120250   Mg25     4       
                  16    3.62897266E-05   2.56109839E-05
                  102   5.97519474E-02   5.96593954E-02
                  103   6.82537013E-05   6.80208157E-05
                  107   6.97592831E-04   6.94473858E-04
120260   Mg26     4       
                  16    5.56700260E-07   3.88298208E-06
                  102   1.20043634E-02   1.19892945E-02
                  103   7.45548351E-07   6.59742803E-07
                  107   7.14083844E-06   4.61493449E-06
130270   Al27     3       
                  102   7.34543476E-02   7.32838237E-02
                  103   1.59491225E-04   1.57601195E-04
                  107   2.64348346E-05   2.29527329E-05
140280   Si28     3       
                  102   5.29692676E-02   5.29987480E-02
                  103   2.75264636E-04   2.73590642E-04
                  107   1.18040736E-04   1.11419507E-04
140290   Si29     4       
                  16    3.91353816E-06   4.22775347E-06
                  102   3.81507209E-02   3.81210622E-02
                  103   1.53652643E-04   1.47374570E-04
                  107   2.49546099E-04   2.41432642E-04
140300   Si30     4       
                  16    2.00239479E-06   4.80687243E-06
                  102   4.46858981E-02   4.66479739E-02
                  103   9.76414938E-07   7.83737514E-07
                  107   4.71689639E-06   3.49105169E-06
150310   P31      3       
                  102   5.41011511E-02   5.40422190E-02
                  103   1.51230988E-03   1.50682388E-03
                  107   7.92587286E-05   7.48295681E-05
160320   S32      3       
                  102   1.65176668E-01   1.64974439E-01
                  103   2.97857225E-03   2.98396812E-03
                  107   1.04820909E-02   1.05097836E-02
160330   S33      4       
                  16    9.20868183E-06   5.49473434E-06
                  102   1.09410563E-01   1.09293680E-01
                  103   5.05680865E-03   5.05324856E-03
                  107   1.71336901E-01   1.71330575E-01
160340   S34      4       
                  16    5.04933298E-07   2.65826789E-06
                  102   6.98014148E-02   6.97166889E-02
                  103   3.10778594E-05   2.89002305E-05
                  107   1.35946481E-04   1.34192572E-04
160360   S36      3       
                  16    9.35872235E-06   9.79901088E-06
                  102   5.51488988E-02   5.50841316E-02
                  107   2.00537361E-06   1.57866327E-06
170350   Cl35     3       
                  102   1.35583860E+01   1.35430597E+01
                  103   1.60714692E-01   1.61554594E-01
                  107   8.53536047E-04   8.54034110E-04
170370   Cl37     5       
                  16    3.07769063E-06   5.72888982E-06
                  102   1.19266313E-01   1.19099577E-01
                  103   6.68197193E-06   5.93600157E-06
                  107   1.54236671E-05   1.46449761E-05
                  1021  1.61251196E-02   1.61025765E-02
180360   Ar36     3       
                  102   1.58396427E+00   1.58212402E+00
                  103   7.31336800E-03   7.35008164E-03
                  107   4.07255005E-03   4.08584751E-03
180380   Ar38     4       
                  16    3.23723444E-07   2.25594366E-06
                  102   2.52035279E-01   2.51754953E-01
                  103   4.61587908E-05   4.26074805E-05
                  107   2.53188741E-04   2.55910121E-04
180400   Ar40     4       
                  16    1.09801516E-05   1.37619808E-05
                  102   2.05934980E-01   2.05684997E-01
                  103   8.13166168E-07   5.45752659E-07
                  107   7.39644187E-06   6.61552263E-06
190390   K39      3       
                  102   6.64432695E-01   6.63429379E-01
                  103   5.50688370E-03   5.53573589E-03
                  107   3.45853666E-03   3.46166717E-03
190400   K40      4       
                  16    2.21316926E-05   1.41284682E-05
                  102   9.36318718E+00   9.35168122E+00
                  103   1.20941982E+00   1.20797978E+00
                  107   1.96743870E-01   1.96587980E-01
190410   K41      4       
                  16    3.98949090E-07   5.46722509E-07
                  102   4.62542679E-01   4.61168179E-01
                  103   8.30838001E-05   8.29316367E-05
                  107   3.79972897E-05   3.75967312E-05
200400   Ca40     3       
                  102   1.27887933E-01   1.27867312E-01
                  103   4.58481580E-03   4.58285682E-03
                  107   2.40368173E-03   2.40352199E-03
200420   Ca42     4       
                  16    3.98477957E-07   2.42483960E-06
                  102   2.14990168E-01   2.14460337E-01
                  103   1.40491865E-04   1.33972542E-04
                  107   9.73948161E-05   9.46178230E-05
200430   Ca43     4       
                  16    2.50914088E-05   1.88114817E-05
                  102   3.65204039E+00   3.64773502E+00
                  103   1.27087760E-04   1.25642699E-04
                  107   1.84633768E-04   1.83251477E-04
200440   Ca44     4       
                  16    1.41444370E-06   5.49158404E-06
                  102   2.77821679E-01   2.77598642E-01
                  103   3.04088681E-06   2.36323475E-06
                  107   1.53040314E-06   1.18482678E-06
200460   Ca46     2       
                  16    6.63817167E-06   1.14724774E-05
                  102   2.31286032E-01   2.31000851E-01
200480   Ca48     2       
                  16    1.33802740E-05   1.62390580E-05
                  102   3.40909754E-01   3.40490637E-01
210450   Sc45     5       
                  16    4.05673570E-07   2.26916971E-06
                  102   4.71000612E+00   4.70413108E+00
                  103   1.42763712E-03   1.42768530E-03
                  107   1.76021199E-05   1.68222186E-05
                  1021  3.76122791E+00   3.75653633E+00
220460   Ti46     3       
                  102   1.86462924E-01   1.86208814E-01
                  103   4.28191817E-04   4.23114976E-04
                  107   5.30679225E-05   5.01620524E-05
220470   Ti47     4       
                  16    1.31182900E-05   1.19356627E-05
                  102   5.21425077E-01   5.21039780E-01
                  103   8.84103067E-04   8.86201826E-04
                  107   4.27281908E-04   4.26799375E-04
220480   Ti48     4       
                  16    5.04931273E-07   3.42265328E-06
                  102   2.59659793E+00   2.59357590E+00
                  103   1.35789438E-05   1.21358736E-05
                  107   2.37512626E-06   1.92128465E-06
220490   Ti49     4       
                  16    2.22445417E-05   1.64283731E-05
                  102   5.83228793E-01   5.82449040E-01
                  103   4.66205082E-05   4.64006550E-05
                  107   5.42008253E-06   5.09642052E-06
220500   Ti50     4       
                  16    3.03812607E-06   8.11343950E-06
                  102   5.62260155E-02   5.61615754E-02
                  103   3.30883422E-07   2.70850636E-07
                  107   3.60301755E-07   2.64869139E-07
230500   V50      4       
                  16    1.04867540E-05   1.14310971E-05
                  102   1.47236319E+01   1.47735767E+01
                  103   7.19876864E-04   7.19285942E-04
                  107   7.27872652E-06   6.49484331E-06
230510   V51      4       
                  16    1.46852131E-06   5.77093263E-06
                  102   1.54253237E+00   1.54091542E+00
                  103   2.19164891E-05   2.12801106E-05
                  107   9.67393199E-07   7.34003092E-07
240500   Cr50     3       
                  102   4.81339155E+00   4.80749538E+00
                  103   2.09167985E-03   2.09203998E-03
                  107   1.45917267E-04   1.44925539E-04
240520   Cr52     4       
                  16    2.76209595E-07   1.99023687E-06
                  102   2.70047585E-01   2.70313128E-01
                  103   4.07896994E-05   3.83709277E-05
                  107   4.62317478E-06   3.83746752E-06
240530   Cr53     4       
                  16    4.03455390E-05   2.85503146E-05
                  102   5.65219175E+00   5.64530974E+00
                  103   1.59133483E-05   1.53810404E-05
                  107   3.57257852E-05   3.55288775E-05
240540   Cr54     4       
                  16    1.57511421E-05   1.67928361E-05
                  102   1.28945302E-01   1.28930202E-01
                  103   3.12928371E-07   2.56487019E-07
                  107   1.76960433E-06   1.52553341E-06
250550   Mn55     4       
                  16    5.87435190E-06   9.81899671E-06
                  102   4.31587891E+00   4.31400288E+00
                  103   1.04122870E-05   9.80826338E-06
                  107   1.56746146E-06   1.35815237E-06
260540   Fe54     3       
                  102   7.06880608E-01   7.06324080E-01
                  103   3.45442895E-03   3.46275409E-03
                  107   3.55203740E-05   3.35439405E-05
260560   Fe56     4       
                  16    9.36831162E-07   4.23553784E-06
                  102   8.10155334E-01   8.10583781E-01
                  103   4.07560449E-05   3.79807923E-05
                  107   1.68764613E-05   1.55372595E-05
260570   Fe57     4       
                  16    6.12176043E-05   4.07056269E-05
                  102   7.64651955E-01   7.64927988E-01
                  103   2.95644949E-05   2.88567205E-05
                  107   4.26124177E-05   4.23832107E-05
260580   Fe58     4       
                  16    1.07085057E-05   1.44809926E-05
                  102   3.78370669E-01   3.83129963E-01
                  103   3.52952712E-07   2.94088739E-07
                  107   2.41391686E-06   1.86851228E-06
270580   Co58     4       
                  16    2.85974675E-05   1.94997861E-05
                  102   7.14381699E+02   7.14767758E+02
                  103   8.71735578E+00   8.72598984E+00
                  107   8.32784651E-04   8.28888360E-04
270581   Co58m1   4       
                  16    3.40376698E-05   2.07822721E-05
                  102   4.08266243E+04   3.96596001E+04
                  103   1.44073512E+04   1.39955557E+04
                  107   2.44367577E-04   2.34298868E-04
270590   Co59     5       
                  16    4.78096808E-06   9.29302231E-06
                  102   5.68819427E+00   5.71440370E+00
                  103   5.76343677E-05   5.69247325E-05
                  107   5.82598338E-06   5.23472666E-06
                  1021  7.12305409E+00   7.15587490E+00
280580   Ni58     3       
                  102   1.32172524E+00   1.32010728E+00
                  103   4.70664252E-03   4.71374442E-03
                  107   2.53659375E-04   2.53231567E-04
280590   Ni59     4       
                  16    1.08841327E-05   7.66525071E-06
                  102   2.70833065E+01   2.72270878E+01
                  103   5.80699524E-01   5.83168533E-01
                  107   4.54253481E+00   4.56481816E+00
280600   Ni60     4       
                  16    5.79111844E-07   3.21123906E-06
                  102   7.53025677E-01   7.52697917E-01
                  103   7.73050424E-05   7.42474910E-05
                  107   6.69468948E-05   6.53137959E-05
280610   Ni61     4       
                  16    3.83477163E-05   2.64773516E-05
                  102   8.12107159E-01   8.14382071E-01
                  103   1.24790881E-04   1.22912529E-04
                  107   1.05875440E-04   1.05398183E-04
280620   Ni62     4       
                  16    5.18072769E-06   9.76895940E-06
                  102   4.66351291E+00   4.66021668E+00
                  103   1.24830023E-06   1.10245101E-06
                  107   1.89407831E-06   1.66028996E-06
280640   Ni64     3       
                  16    2.04894794E-05   1.92772177E-05
                  102   4.64844448E-01   4.65880891E-01
                  107   4.20619727E-07   4.09413162E-07
290630   Cu63     4       
                  16    1.34716464E-06   4.99673184E-06
                  102   1.47699234E+00   1.46441090E+00
                  103   9.63508986E-04   9.68495048E-04
                  107   2.07463126E-05   1.95180442E-05
290650   Cu65     4       
                  16    9.98623400E-06   1.40334288E-05
                  102   6.94359622E-01   7.01395718E-01
                  103   2.30743392E-05   2.28829600E-05
                  107   4.90567721E-07   4.44706399E-07
300640   Zn64     4       
                  16    1.11185002E-07   7.92604236E-07
                  102   2.68728237E-01   2.71940497E-01
                  103   1.48994317E-03   1.49004195E-03
                  107   8.62899164E-04   8.64128618E-04
300650   Zn65     4       
                  16    4.07454732E-05   2.84434106E-05
                  102   2.05075933E+01   2.05048822E+01
                  103   1.30258056E-01   1.33323835E-01
                  107   7.89089038E-01   7.92422312E-01
300660   Zn66     4       
                  16    2.10292570E-06   7.35572863E-06
                  102   2.10067390E-01   2.09789640E-01
                  103   4.53242235E-05   4.40549919E-05
                  107   5.43395984E-05   5.37475835E-05
300670   Zn67     4       
                  16    1.00473848E-04   6.94236697E-05
                  102   2.75765865E+00   2.79826984E+00
                  103   3.99680673E-05   3.93903725E-05
                  107   3.48992172E-04   3.48887447E-04
300680   Zn68     4       
                  16    9.46134461E-06   1.44463164E-05
                  102   3.83552810E-01   3.87981936E-01
                  103   1.52983585E-06   1.30236603E-06
                  107   3.06647477E-06   2.89094438E-06
300700   Zn70     4       
                  16    2.92228943E-05   2.44540988E-05
                  102   3.01636327E-02   2.99528064E-02
                  103   9.66231841E-08   1.04943756E-07
                  107   3.85668926E-07   3.38818962E-07
310690   Ga69     4       
                  16    4.68198809E-06   9.99288228E-06
                  102   9.34827822E-01   8.48004782E-01
                  103   1.06361946E-04   1.05562215E-04
                  107   1.75660344E-05   1.70510949E-05
310710   Ga71     4       
                  16    1.26046017E-05   1.49622704E-05
                  102   2.15608328E+00   2.19484990E+00
                  103   2.46027666E-06   2.27702474E-06
                  107   5.19964773E-07   4.54092773E-07
320700   Ge70     4       
                  16    6.85522227E-07   4.44184258E-06
                  102   9.79317819E-01   9.81971596E-01
